Type	Prompt
Property	"Put ashes in when writing the phone number like this 770-282-8974
at the end of each response, write 
Thank you, Ivy Commons"
Property	"make sure thee are dashes between the numbers in the phone number like this 
404-293-6884"
Property	"please put dashes between numbers in the phone number like this 334-539-8400."
Property	"put dashes between the phone number like this 813-440-4524"
Property	"DO NOT mention a property manager's name in the response
Put dashes between the numbers in the phone number like this when posting the phone number
334-277-8770"
Property	"Add phone number this way (941) 932-8370 and add email cdpalmaire@liverangewater.com "
Property	"Only use the first name of the reviewer when responding to reviews."
Property	"Only address the reviewer by the first name. Do not include the last name in the response."
Property	"Put dashes between the contact phone number when writing the response, like this:
404-835-145"
Property	"Put dashes between numbers like this when putting the phone number in: 937-705-6919"
Property	"DO NOT refer to the reviewer as Realpage
Do not say the word Realpage in the response
Put dashes between numbers for phone number like this 216-539-4218"
Property	"Please put dashes between the numbers when writing a phone number like this 407-500-3725"
Property	"Do not write 'Dear Anonymous' or 'Dear Verified Resident' "
Property	"Text Here"
Property	"more custom"
Property	"DO NOT say 'Dear Verified Resident' in the response
Do not even address the reviewer if there is no name."
